stateabb1,stateabb2,year
AAB,ARG,1997
AAB,BAR,1997
AAB,BHM,1997
AAB,BLZ,1997
AAB,BOL,1997
AAB,BRA,1997
AAB,CAN,1997
AAB,CHL,1997
AAB,COL,1997
AAB,COS,1997
AAB,DMA,1997
AAB,DOM,1997
AAB,ECU,1997
AAB,GRN,1997
AAB,GUA,1997
AAB,GUY,1997
AAB,HAI,1997
AAB,HON,1997
AAB,JAM,1997
AAB,MEX,1997
AAB,NIC,1997
AAB,PAN,1997
AAB,PAR,1997
AAB,PER,1997
AAB,SAL,1997
AAB,SKN,1997
AAB,SLU,1997
AAB,SUR,1997
AAB,SVG,1997
AAB,TRI,1997
AAB,URU,1997
AAB,USA,1997
AAB,VEN,1997
ALG,BAH,1997
ALG,COM,1997
ALG,DJI,1997
ALG,IRQ,1997
ALG,JOR,1997
ALG,KUW,1997
ALG,LEB,1997
ALG,LIB,1997
ALG,MAA,1997
ALG,MOR,1997
ALG,OMA,1997
ALG,QAT,1997
ALG,SAU,1997
ALG,SOM,1997
ALG,SUD,1997
ALG,SYR,1997
ALG,TUN,1997
ALG,UAE,1997
ALG,YEM,1997
ARG,AAB,1997
ARG,BAR,1997
ARG,BHM,1997
ARG,BLZ,1997
ARG,BOL,1997
ARG,BRA,1997
ARG,CAN,1997
ARG,CHL,1997
ARG,COL,1997
ARG,COS,1997
ARG,DMA,1997
ARG,DOM,1997
ARG,ECU,1997
ARG,GRN,1997
ARG,GUA,1997
ARG,GUY,1997
ARG,HAI,1997
ARG,HON,1997
ARG,JAM,1997
ARG,MEX,1997
ARG,NIC,1997
ARG,PAN,1997
ARG,PAR,1997
ARG,PER,1997
ARG,SAL,1997
ARG,SKN,1997
ARG,SLU,1997
ARG,SUR,1997
ARG,SVG,1997
ARG,TRI,1997
ARG,URU,1997
ARG,USA,1997
ARG,VEN,1997
ARM,AZE,1997
ARM,BLR,1997
ARM,GRG,1997
ARM,KYR,1997
ARM,KZK,1997
ARM,RUS,1997
ARM,TAJ,1997
ARM,UZB,1997
AUL,USA,1997
AZE,ARM,1997
AZE,BLR,1997
AZE,GRG,1997
AZE,KYR,1997
AZE,KZK,1997
AZE,RUS,1997
AZE,TAJ,1997
AZE,TUR,1997
AZE,UZB,1997
BAH,ALG,1997
BAH,COM,1997
BAH,DJI,1997
BAH,IRQ,1997
BAH,JOR,1997
BAH,KUW,1997
BAH,LEB,1997
BAH,LIB,1997
BAH,MOR,1997
BAH,OMA,1997
BAH,QAT,1997
BAH,SAU,1997
BAH,SOM,1997
BAH,SUD,1997
BAH,SYR,1997
BAH,TUN,1997
BAH,UAE,1997
BAH,YEM,1997
BAR,AAB,1997
BAR,ARG,1997
BAR,BHM,1997
BAR,BLZ,1997
BAR,BOL,1997
BAR,BRA,1997
BAR,CAN,1997
BAR,CHL,1997
BAR,COL,1997
BAR,COS,1997
BAR,DMA,1997
BAR,DOM,1997
BAR,ECU,1997
BAR,GRN,1997
BAR,GUA,1997
BAR,GUY,1997
BAR,HAI,1997
BAR,HON,1997
BAR,JAM,1997
BAR,MEX,1997
BAR,NIC,1997
BAR,PAN,1997
BAR,PAR,1997
BAR,PER,1997
BAR,SAL,1997
BAR,SKN,1997
BAR,SLU,1997
BAR,SUR,1997
BAR,SVG,1997
BAR,TRI,1997
BAR,URU,1997
BAR,USA,1997
BAR,VEN,1997
BEL,CAN,1997
BEL,CZR,1997
BEL,DEN,1997
BEL,FRN,1997
BEL,GMY,1997
BEL,GRC,1997
BEL,HUN,1997
BEL,ICE,1997
BEL,ITA,1997
BEL,LUX,1997
BEL,NOR,1997
BEL,NTH,1997
BEL,POL,1997
BEL,POR,1997
BEL,SPN,1997
BEL,TUR,1997
BEL,UKG,1997
BEL,USA,1997
BEN,BFO,1997
BEN,CDI,1997
BEN,GAM,1997
BEN,GHA,1997
BEN,GNB,1997
BEN,GUI,1997
BEN,LBR,1997
BEN,MAA,1997
BEN,NIG,1997
BEN,NIR,1997
BEN,SEN,1997
BEN,SIE,1997
BEN,TOG,1997
BFO,BEN,1997
BFO,CDI,1997
BFO,GAM,1997
BFO,GHA,1997
BFO,GNB,1997
BFO,GUI,1997
BFO,LBR,1997
BFO,MAA,1997
BFO,MLI,1997
BFO,NIG,1997
BFO,NIR,1997
BFO,SEN,1997
BFO,SIE,1997
BFO,TOG,1997
BHM,AAB,1997
BHM,ARG,1997
BHM,BAR,1997
BHM,BLZ,1997
BHM,BOL,1997
BHM,BRA,1997
BHM,CAN,1997
BHM,CHL,1997
BHM,COL,1997
BHM,COS,1997
BHM,DMA,1997
BHM,DOM,1997
BHM,ECU,1997
BHM,GRN,1997
BHM,GUA,1997
BHM,GUY,1997
BHM,HAI,1997
BHM,HON,1997
BHM,JAM,1997
BHM,MEX,1997
BHM,NIC,1997
BHM,PAN,1997
BHM,PAR,1997
BHM,PER,1997
BHM,SAL,1997
BHM,SKN,1997
BHM,SLU,1997
BHM,SUR,1997
BHM,SVG,1997
BHM,TRI,1997
BHM,URU,1997
BHM,USA,1997
BHM,VEN,1997
BLR,ARM,1997
BLR,AZE,1997
BLR,GRG,1997
BLR,KYR,1997
BLR,KZK,1997
BLR,RUS,1997
BLR,TAJ,1997
BLR,UZB,1997
BLZ,AAB,1997
BLZ,ARG,1997
BLZ,BAR,1997
BLZ,BHM,1997
BLZ,BOL,1997
BLZ,BRA,1997
BLZ,CAN,1997
BLZ,CHL,1997
BLZ,COL,1997
BLZ,COS,1997
BLZ,DMA,1997
BLZ,DOM,1997
BLZ,ECU,1997
BLZ,GRN,1997
BLZ,GUA,1997
BLZ,GUY,1997
BLZ,HAI,1997
BLZ,HON,1997
BLZ,JAM,1997
BLZ,MEX,1997
BLZ,NIC,1997
BLZ,PAN,1997
BLZ,PAR,1997
BLZ,PER,1997
BLZ,SAL,1997
BLZ,SKN,1997
BLZ,SLU,1997
BLZ,SUR,1997
BLZ,SVG,1997
BLZ,TRI,1997
BLZ,URU,1997
BLZ,USA,1997
BLZ,VEN,1997
BOL,AAB,1997
BOL,ARG,1997
BOL,BAR,1997
BOL,BHM,1997
BOL,BLZ,1997
BOL,BRA,1997
BOL,CAN,1997
BOL,CHL,1997
BOL,COL,1997
BOL,COS,1997
BOL,DMA,1997
BOL,DOM,1997
BOL,ECU,1997
BOL,GRN,1997
BOL,GUA,1997
BOL,GUY,1997
BOL,HAI,1997
BOL,HON,1997
BOL,JAM,1997
BOL,MEX,1997
BOL,NIC,1997
BOL,PAN,1997
